"","YEAR","ID","RACE","SEX","AGE","SIBS","RES16","FAMILY16","BORN","PARBORN","REALRINC","INCOM16","PAEDUC","MAEDUC","PAPRES105PLUS","MAPRES105PLUS","REALINC","HOMPOP","FINRELA","PRESTG105PLUS","EDUC","RES161","COMTYPE","HPARPRES","HPAREDU","FEMALE","BOTHPAR","WHITE","RES16MID","FIPP","lnREALRINC","lnFIPP","RESNOWBIG"
"172",2018,1925,1,1,56,3,3,1,1,0,12485,2,10,12,50,14,20430,2,2,20,11,NA,NA,50,12,FALSE,1,1,0,10215,9.43228320271387,9.23161250725172,NA
"173",1991,286,1,2,61,10,4,1,1,0,17757,2,-1,8,12,-1,17757,1,2,87,15,NA,NA,12,8,TRUE,1,1,1,17757,9.78453508335883,9.78453508335883,NA
"174",1998,1844,1,2,43,4,5,1,1,1,18947,NA,16,12,90,-1,56842,2,4,83,17,NA,NA,90,16,TRUE,1,1,1,28421,9.84940088663236,10.2548835875204,NA
"175",2018,1588,2,2,36,11,3,7,1,0,1589,3,-1,20,-1,29,2043,1,3,15,13,NA,NA,29,20,TRUE,0,0,0,2043,7.37086016653672,7.62217459481762,NA
"176",2010,1603,1,1,61,1,3,1,1,0,NA,4,19,16,89,91,119606.06532,2,5,89,16,NA,NA,91,19,FALSE,1,1,0,59803.03266,NA,10.9988116520308,NA
"177",2010,1836,1,1,55,2,1,1,1,0,NA,3,16,16,58,85,NA,1,3,84,16,NA,NA,85,16,FALSE,1,1,0,NA,NA,NA,NA
"178",2010,1289,1,1,52,2,1,1,1,0,NA,4,12,12,42,-1,28490,1,3,44,16,NA,NA,42,12,FALSE,1,1,0,28490,NA,10.257308427492,NA
"179",1985,1205,1,2,78,7,2,1,1,2,NA,2,7,8,58,-1,17154,1,3,NA,11,NA,NA,58,8,TRUE,1,1,0,17154,NA,9.74998666155037,NA
"180",2004,219,1,1,21,2,3,1,1,0,NA,3,17,17,94,85,1207.6,1,3,NA,15,NA,NA,94,17,FALSE,1,1,0,1207.6,NA,7.09639019783268,NA
"181",1982,601,2,2,29,5,3,1,1,0,NA,2,5,8,23,-1,13563,5,2,22,12,NA,NA,23,8,TRUE,1,0,0,2712.6,NA,7.90566286352861,NA
"182",2000,2091,2,2,36,6,1,1,1,0,7481,NA,-1,12,50,28,7481,4,2,15,12,NA,5,50,12,TRUE,1,0,0,1870.25,8.9201217518724,7.53382739075251,0
"183",1994,2475,1,2,48,1,5,1,1,0,10505,3,14,12,55,-1,24830,2,3,18,12,NA,NA,55,14,TRUE,1,1,1,12415,9.2596066132791,9.42666069794227,NA
"184",1988,376,2,1,19,NA,3,2,1,0,1930,3,14,12,76,-1,20507,6,2,24,8,NA,NA,76,14,FALSE,0,0,0,3417.83333333333,7.56527528189893,8.13676210102772,NA
"185",2002,682,1,2,68,1,4,1,1,0,NA,NA,12,12,73,50,62570,9,4,87,16,NA,NA,73,12,TRUE,1,1,1,6952.22222222222,NA,8.84681663165619,NA
"186",2012,545,2,2,58,2,5,1,1,0,NA,2,10,10,53,14,NA,1,3,91,16,NA,NA,53,10,TRUE,1,0,1,NA,NA,NA,NA
"187",1993,245,1,1,72,6,4,1,1,0,NA,3,3,3,16,-1,NA,2,2,52,8,NA,5,16,3,FALSE,1,1,1,NA,NA,NA,0
